# RomanF062  source: SVO FPS id=Roman/WFI.F062
# wavelength[AA] transmission
4600.000 3.000000e-04
4650.000 5.200000e-03
4700.000 5.200000e-02
4750.000 2.583000e-01
4800.000 6.892000e-01
4850.000 1.108000e+00
4900.000 1.295600e+00
4950.000 1.327700e+00
5000.000 1.324300e+00
5050.000 1.327300e+00
5100.000 1.338600e+00
5150.000 1.357200e+00
5200.000 1.382700e+00
5250.000 1.414400e+00
5300.000 1.450600e+00
5350.000 1.491800e+00
5400.000 1.536600e+00
5450.000 1.583100e+00
5500.000 1.632600e+00
5550.000 1.684000e+00
5600.000 1.739600e+00
5650.000 1.797600e+00
5700.000 1.857100e+00
5750.000 1.916800e+00
5800.000 1.975100e+00
5850.000 2.030800e+00
5900.000 2.082600e+00
5950.000 2.128900e+00
6000.000 2.168500e+00
6050.000 2.198100e+00
6100.000 2.223700e+00
6150.000 2.243900e+00
6200.000 2.260700e+00
6250.000 2.275600e+00
6300.000 2.292400e+00
6350.000 2.306200e+00
6400.000 2.316900e+00
6450.000 2.324700e+00
6500.000 2.329100e+00
6550.000 2.330000e+00
6600.000 2.326300e+00
6650.000 2.322600e+00
6700.000 2.317000e+00
6750.000 2.312400e+00
6800.000 2.313600e+00
6850.000 2.315000e+00
6900.000 2.316700e+00
6950.000 2.317500e+00
7000.000 2.316900e+00
7050.000 2.312100e+00
7100.000 2.306000e+00
7150.000 2.299900e+00
7200.000 2.295000e+00
7250.000 2.292700e+00
7300.000 2.291200e+00
7350.000 2.286100e+00
7400.000 2.266600e+00
7450.000 2.197900e+00
7500.000 2.014700e+00
7550.000 1.670500e+00
7600.000 1.186800e+00
7650.000 6.909000e-01
7700.000 3.182000e-01
7750.000 1.131000e-01
7800.000 3.040000e-02
7850.000 6.100000e-03
7900.000 9.000000e-04
7950.000 1.000000e-04
