# F444W  source: SVO FPS id=JWST/NIRCam.F444W
# wavelength[AA] transmission
37131.800 1.050790e-04
37145.400 1.110430e-04
37158.900 1.178810e-04
37172.400 1.256690e-04
37185.900 1.341030e-04
37199.400 1.428070e-04
37212.900 1.518700e-04
37226.400 1.620430e-04
37239.900 1.734020e-04
37253.500 1.851780e-04
37267.000 1.972010e-04
37280.500 2.097060e-04
37294.000 2.230900e-04
37307.500 2.380740e-04
37321.000 2.545110e-04
37334.500 2.717410e-04
37348.000 2.899140e-04
37361.500 3.097070e-04
37375.100 3.306730e-04
37388.600 3.533340e-04
37402.100 3.771730e-04
37415.600 4.020530e-04
37429.100 4.279520e-04
37442.600 4.553300e-04
37456.100 4.843290e-04
37469.600 5.152730e-04
37483.200 5.479630e-04
37496.700 5.827080e-04
37510.200 6.201420e-04
37523.700 6.599790e-04
37537.200 7.019590e-04
37550.700 7.462570e-04
37564.200 7.929520e-04
37577.700 8.424760e-04
37591.300 8.950150e-04
37604.800 9.501790e-04
37618.300 1.008170e-03
37631.800 1.069410e-03
37645.300 1.133910e-03
37658.800 1.201980e-03
37672.300 1.273720e-03
37685.800 1.349100e-03
37699.400 1.428620e-03
37712.900 1.512330e-03
37726.400 1.600000e-03
37739.900 1.692110e-03
37753.400 1.789000e-03
37766.900 1.892240e-03
37780.400 2.000220e-03
37793.900 2.113240e-03
37807.500 2.232190e-03
37821.000 2.357760e-03
37834.500 2.490240e-03
37848.000 2.629720e-03
37861.500 2.777030e-03
37875.000 2.932780e-03
37888.500 3.097250e-03
37902.000 3.271070e-03
37915.600 3.454170e-03
37929.100 3.648010e-03
37942.600 3.853770e-03
37956.100 4.072100e-03
37969.600 4.303930e-03
37983.100 4.550740e-03
37996.600 4.813190e-03
38010.100 5.093360e-03
38023.700 5.392540e-03
38037.200 5.711840e-03
38050.700 6.053040e-03
38064.200 6.418300e-03
38077.700 6.809040e-03
38091.200 7.227270e-03
38104.700 7.675660e-03
38118.200 8.156090e-03
38131.800 8.671760e-03
38145.300 9.226060e-03
38158.800 9.822350e-03
38172.300 1.046740e-02
38185.800 1.117030e-02
38199.300 1.191850e-02
38212.800 1.272620e-02
38226.300 1.359940e-02
38239.800 1.454400e-02
38253.400 1.556600e-02
38266.900 1.667190e-02
38280.400 1.786880e-02
38293.900 1.916500e-02
38307.400 2.056990e-02
38320.900 2.209290e-02
38334.400 2.374440e-02
38347.900 2.553620e-02
38361.500 2.748040e-02
38375.000 2.959010e-02
38388.500 3.190940e-02
38402.000 3.440090e-02
38415.500 3.709640e-02
38429.000 4.001760e-02
38442.500 4.318120e-02
38456.000 4.660450e-02
38469.600 5.030590e-02
38483.100 5.430380e-02
38496.600 5.861680e-02
38510.100 6.326270e-02
38523.600 6.826020e-02
38537.100 7.362770e-02
38550.600 7.938120e-02
38564.100 8.553510e-02
38577.700 9.218300e-02
38591.200 9.920320e-02
38604.700 1.066260e-01
38618.200 1.144820e-01
38631.700 1.227670e-01
38645.200 1.314770e-01
38658.700 1.406010e-01
38672.200 1.501240e-01
38685.800 1.600270e-01
38699.300 1.702860e-01
38712.800 1.808670e-01
38726.300 1.917360e-01
38739.800 2.028540e-01
38753.300 2.141760e-01
38766.800 2.256500e-01
38780.300 2.372300e-01
38793.900 2.488550e-01
38807.400 2.604740e-01
38820.900 2.720350e-01
38834.400 2.834830e-01
38847.900 2.947640e-01
38861.400 3.058330e-01
38874.900 3.166470e-01
38888.400 3.271650e-01
38902.000 3.373560e-01
38915.500 3.471930e-01
38929.000 3.566500e-01
38942.500 3.657120e-01
38956.000 3.743720e-01
38969.500 3.826130e-01
38983.000 3.908850e-01
38996.500 3.983020e-01
39010.100 4.053050e-01
39023.600 4.119070e-01
39037.100 4.181240e-01
39050.600 4.239700e-01
39064.100 4.294570e-01
39077.600 4.346090e-01
39091.100 4.394450e-01
39104.600 4.439790e-01
39118.200 4.482370e-01
39131.700 4.522260e-01
39145.200 4.562160e-01
39158.700 4.599500e-01
39172.200 4.632130e-01
39185.700 4.662580e-01
39199.200 4.690980e-01
39212.700 4.717510e-01
39226.200 4.742200e-01
39239.800 4.765170e-01
39253.300 4.786580e-01
39266.800 4.806470e-01
39280.300 4.824900e-01
39293.800 4.842010e-01
39307.300 4.857780e-01
39320.800 4.872260e-01
39334.300 4.885630e-01
39347.900 4.897930e-01
39361.400 4.909180e-01
39374.900 4.922260e-01
39388.400 4.934640e-01
39401.900 4.943350e-01
39415.400 4.951900e-01
39428.900 4.959780e-01
39442.400 4.966970e-01
39456.000 4.973550e-01
39469.500 4.979580e-01
39483.000 4.985090e-01
39496.500 4.990100e-01
39510.000 4.994110e-01
39523.500 4.997540e-01
39537.000 5.000570e-01
39550.500 5.003340e-01
39564.100 5.005840e-01
39577.600 5.008070e-01
39591.100 5.010120e-01
39604.600 5.012030e-01
39618.100 5.013790e-01
39631.600 5.015390e-01
39645.100 5.016900e-01
39658.600 5.018280e-01
39672.200 5.019530e-01
39685.700 5.020750e-01
