# RomanF146  source: SVO FPS id=Roman/WFI.F146
# wavelength[AA] transmission
8850.000 1.000000e-04
8900.000 9.000000e-04
8950.000 4.400000e-03
9000.000 1.780000e-02
9050.000 5.940000e-02
9100.000 1.639000e-01
9150.000 3.771000e-01
9200.000 7.298000e-01
9250.000 1.202200e+00
9300.000 1.715800e+00
9350.000 2.169000e+00
9400.000 2.490800e+00
9450.000 2.676300e+00
9500.000 2.761700e+00
9550.000 2.793200e+00
9600.000 2.802500e+00
9650.000 2.801900e+00
9700.000 2.800600e+00
9750.000 2.797000e+00
9800.000 2.794800e+00
9850.000 2.791200e+00
9900.000 2.787200e+00
9950.000 2.785000e+00
10000.000 2.781600e+00
10050.000 2.779900e+00
10100.000 2.778400e+00
10150.000 2.777000e+00
10200.000 2.775700e+00
10250.000 2.774500e+00
10300.000 2.773500e+00
10350.000 2.771100e+00
10400.000 2.770600e+00
10450.000 2.770100e+00
10500.000 2.769900e+00
10550.000 2.770000e+00
10600.000 2.770300e+00
10650.000 2.770800e+00
10700.000 2.771500e+00
10750.000 2.772300e+00
10800.000 2.773200e+00
10850.000 2.775600e+00
10900.000 2.776300e+00
10950.000 2.777100e+00
11000.000 2.779200e+00
11050.000 2.777800e+00
11100.000 2.777800e+00
11150.000 2.779100e+00
11200.000 2.780300e+00
11250.000 2.780000e+00
11300.000 2.781500e+00
11350.000 2.782200e+00
11400.000 2.783000e+00
11450.000 2.783300e+00
11500.000 2.785200e+00
11550.000 2.786000e+00
11600.000 2.787000e+00
11650.000 2.789600e+00
11700.000 2.791000e+00
11750.000 2.793900e+00
11800.000 2.796900e+00
11850.000 2.798400e+00
11900.000 2.801600e+00
11950.000 2.804900e+00
12000.000 2.806400e+00
12050.000 2.808300e+00
12100.000 2.811900e+00
12150.000 2.815600e+00
12200.000 2.817600e+00
12250.000 2.820800e+00
12300.000 2.824200e+00
12350.000 2.826500e+00
12400.000 2.828500e+00
12450.000 2.831000e+00
12500.000 2.831300e+00
12550.000 2.832400e+00
12600.000 2.832700e+00
12650.000 2.832100e+00
12700.000 2.831200e+00
12750.000 2.830900e+00
12800.000 2.830500e+00
12850.000 2.828600e+00
12900.000 2.828500e+00
12950.000 2.827900e+00
13000.000 2.827600e+00
13050.000 2.828800e+00
13100.000 2.828700e+00
13150.000 2.830400e+00
13200.000 2.832300e+00
13250.000 2.832800e+00
13300.000 2.835300e+00
13350.000 2.837900e+00
13400.000 2.839000e+00
13450.000 2.841700e+00
13500.000 2.844800e+00
13550.000 2.846700e+00
13600.000 2.850300e+00
13650.000 2.852600e+00
13700.000 2.856300e+00
13750.000 2.860200e+00
13800.000 2.862300e+00
13850.000 2.866500e+00
13900.000 2.869000e+00
13950.000 2.870500e+00
14000.000 2.871500e+00
14050.000 2.870800e+00
14100.000 2.869700e+00
14150.000 2.868900e+00
14200.000 2.869600e+00
14250.000 2.872000e+00
14300.000 2.873000e+00
14350.000 2.874800e+00
14400.000 2.874900e+00
14450.000 2.873600e+00
14500.000 2.874300e+00
14550.000 2.875500e+00
14600.000 2.876400e+00
14650.000 2.877000e+00
14700.000 2.877600e+00
14750.000 2.879200e+00
14800.000 2.879200e+00
14850.000 2.880800e+00
14900.000 2.881200e+00
14950.000 2.883100e+00
15000.000 2.883700e+00
15050.000 2.884100e+00
15100.000 2.886300e+00
15150.000 2.887800e+00
15200.000 2.889400e+00
15250.000 2.892000e+00
15300.000 2.892800e+00
15350.000 2.895400e+00
15400.000 2.898000e+00
15450.000 2.899900e+00
15500.000 2.901900e+00
15550.000 2.903400e+00
15600.000 2.904900e+00
15650.000 2.905800e+00
15700.000 2.908100e+00
15750.000 2.909200e+00
15800.000 2.910400e+00
15850.000 2.912500e+00
15900.000 2.915000e+00
15950.000 2.918200e+00
16000.000 2.922200e+00
16050.000 2.926100e+00
16100.000 2.930400e+00
16150.000 2.934200e+00
16200.000 2.938300e+00
16250.000 2.943900e+00
16300.000 2.949600e+00
16350.000 2.953700e+00
16400.000 2.957600e+00
16450.000 2.961200e+00
16500.000 2.964500e+00
16550.000 2.968600e+00
16600.000 2.970500e+00
16650.000 2.973900e+00
16700.000 2.977000e+00
16750.000 2.978400e+00
16800.000 2.979700e+00
16850.000 2.982300e+00
16900.000 2.983500e+00
16950.000 2.984400e+00
17000.000 2.987200e+00
17050.000 2.990000e+00
17100.000 2.992800e+00
17150.000 2.995000e+00
17200.000 2.998400e+00
17250.000 3.000200e+00
17300.000 3.001800e+00
17350.000 3.003800e+00
17400.000 3.005500e+00
17450.000 3.005700e+00
17500.000 3.007300e+00
17550.000 3.005600e+00
17600.000 3.005100e+00
17650.000 3.002500e+00
17700.000 2.999600e+00
17750.000 2.996500e+00
17800.000 2.993400e+00
17850.000 2.992100e+00
17900.000 2.989300e+00
17950.000 2.987000e+00
18000.000 2.983900e+00
18050.000 2.982000e+00
18100.000 2.982500e+00
18150.000 2.981100e+00
18200.000 2.982900e+00
18250.000 2.984300e+00
18300.000 2.985900e+00
18350.000 2.987700e+00
18400.000 2.989500e+00
18450.000 2.991300e+00
18500.000 2.993000e+00
18550.000 2.994500e+00
18600.000 2.996000e+00
18650.000 2.999200e+00
18700.000 3.000500e+00
18750.000 3.003400e+00
18800.000 3.004500e+00
18850.000 3.005400e+00
18900.000 3.004600e+00
18950.000 3.004900e+00
19000.000 3.004800e+00
19050.000 3.004100e+00
19100.000 3.004500e+00
19150.000 3.002800e+00
19200.000 3.000600e+00
19250.000 2.999200e+00
19300.000 2.995100e+00
19350.000 2.990400e+00
19400.000 2.982500e+00
19450.000 2.971700e+00
19500.000 2.950900e+00
19550.000 2.918600e+00
19600.000 2.868200e+00
19650.000 2.795300e+00
19700.000 2.697700e+00
19750.000 2.568100e+00
19800.000 2.406000e+00
19850.000 2.212200e+00
19900.000 1.990600e+00
19950.000 1.748300e+00
20000.000 1.495700e+00
20050.000 1.242500e+00
20100.000 1.000700e+00
20150.000 7.800000e-01
20200.000 5.875000e-01
20250.000 4.270000e-01
20300.000 2.991000e-01
20350.000 2.019000e-01
20400.000 1.310000e-01
20450.000 8.170000e-02
20500.000 4.900000e-02
20550.000 2.820000e-02
20600.000 1.560000e-02
20650.000 8.200000e-03
20700.000 4.200000e-03
20750.000 2.000000e-03
20800.000 1.000000e-03
20850.000 4.000000e-04
