# RomanF087  source: SVO FPS id=Roman/WFI.F087
# wavelength[AA] transmission
7250.000 1.000000e-04
7300.000 9.000000e-04
7350.000 5.700000e-03
7400.000 2.820000e-02
7450.000 1.058000e-01
7500.000 3.024000e-01
7550.000 6.726000e-01
7600.000 1.186800e+00
7650.000 1.715700e+00
7700.000 2.119500e+00
7750.000 2.349600e+00
7800.000 2.443000e+00
7850.000 2.472100e+00
7900.000 2.478700e+00
7950.000 2.480700e+00
8000.000 2.484000e+00
8050.000 2.494800e+00
8100.000 2.507500e+00
8150.000 2.520900e+00
8200.000 2.534500e+00
8250.000 2.548400e+00
8300.000 2.556900e+00
8350.000 2.563800e+00
8400.000 2.572100e+00
8450.000 2.580900e+00
8500.000 2.593200e+00
8550.000 2.610300e+00
8600.000 2.628400e+00
8650.000 2.649100e+00
8700.000 2.667500e+00
8750.000 2.687300e+00
8800.000 2.706700e+00
8850.000 2.725600e+00
8900.000 2.743500e+00
8950.000 2.758500e+00
9000.000 2.771400e+00
9050.000 2.784400e+00
9100.000 2.795700e+00
9150.000 2.805300e+00
9200.000 2.812700e+00
9250.000 2.816200e+00
9300.000 2.817800e+00
9350.000 2.818400e+00
9400.000 2.814300e+00
9450.000 2.805800e+00
9500.000 2.783900e+00
9550.000 2.730600e+00
9600.000 2.613400e+00
9650.000 2.390400e+00
9700.000 2.043800e+00
9750.000 1.592600e+00
9800.000 1.108300e+00
9850.000 6.759000e-01
9900.000 3.564000e-01
9950.000 1.609000e-01
10000.000 6.170000e-02
10050.000 2.000000e-02
10100.000 5.400000e-03
10150.000 1.200000e-03
10200.000 2.000000e-04
