# F410M  source: SVO FPS id=JWST/NIRCam.F410M
# wavelength[AA] transmission
40010.000 4.936010e-01
40023.500 4.935640e-01
40037.000 4.935260e-01
40050.500 4.934830e-01
40064.000 4.934470e-01
40077.500 4.934230e-01
40091.000 4.933960e-01
40104.500 4.933900e-01
40118.100 4.934290e-01
40131.600 4.934660e-01
40145.100 4.934870e-01
40158.600 4.934990e-01
40172.100 4.935070e-01
40185.600 4.938260e-01
40199.100 4.940780e-01
40212.600 4.945770e-01
40226.200 4.945260e-01
40239.700 4.944790e-01
40253.200 4.944490e-01
40266.700 4.944300e-01
40280.200 4.944040e-01
40293.700 4.943770e-01
40307.200 4.943450e-01
40320.700 4.943060e-01
40334.300 4.942630e-01
40347.800 4.942190e-01
40361.300 4.941690e-01
40374.800 4.941220e-01
40388.300 4.940890e-01
40401.800 4.940740e-01
40415.300 4.941240e-01
40428.800 4.941800e-01
40442.400 4.942440e-01
40455.900 4.943060e-01
40469.400 4.943680e-01
40482.900 4.944270e-01
40496.400 4.944810e-01
40509.900 4.944850e-01
40523.400 4.944750e-01
40536.900 4.944640e-01
40550.500 4.944400e-01
40564.000 4.944290e-01
40577.500 4.944330e-01
40591.000 4.944470e-01
40604.500 4.947240e-01
40618.000 4.950640e-01
40631.500 4.950900e-01
40645.000 4.951040e-01
40658.600 4.951200e-01
40672.100 4.951330e-01
40685.600 4.951400e-01
40699.100 4.951450e-01
40712.600 4.952170e-01
40726.100 4.956260e-01
40739.600 4.959140e-01
40753.100 4.960000e-01
40766.700 4.960920e-01
40780.200 4.961850e-01
40793.700 4.962790e-01
40807.200 4.963400e-01
40820.700 4.963530e-01
40834.200 4.963580e-01
40847.700 4.963570e-01
40861.200 4.963480e-01
40874.800 4.963300e-01
40888.300 4.963110e-01
40901.800 4.962950e-01
40915.300 4.962760e-01
40928.800 4.962640e-01
40942.300 4.962570e-01
40955.800 4.962500e-01
40969.300 4.962370e-01
40982.800 4.962250e-01
40996.400 4.962050e-01
41009.900 4.961240e-01
41023.400 4.960190e-01
41036.900 4.963020e-01
41050.400 4.963580e-01
41063.900 4.962260e-01
41077.400 4.961010e-01
41090.900 4.959810e-01
41104.500 4.958830e-01
41118.000 4.958310e-01
41131.500 4.957880e-01
41145.000 4.957400e-01
41158.500 4.956860e-01
41172.000 4.956290e-01
41185.500 4.958690e-01
41199.000 4.960440e-01
41212.600 4.959740e-01
41226.100 4.959040e-01
41239.600 4.958360e-01
41253.100 4.957780e-01
41266.600 4.957330e-01
41280.100 4.956980e-01
41293.600 4.956700e-01
41307.100 4.956210e-01
41320.700 4.955520e-01
41334.200 4.954890e-01
41347.700 4.954280e-01
41361.200 4.953690e-01
41374.700 4.953100e-01
41388.200 4.952520e-01
41401.700 4.952170e-01
41415.200 4.953010e-01
41428.800 4.953940e-01
41442.300 4.955050e-01
41455.800 4.956420e-01
41469.300 4.957950e-01
41482.800 4.965280e-01
41496.300 4.967030e-01
41509.800 4.968380e-01
41523.300 4.969590e-01
41536.900 4.970880e-01
41550.400 4.972240e-01
41563.900 4.973580e-01
41577.400 4.974910e-01
41590.900 4.976330e-01
41604.400 4.980330e-01
41617.900 4.985060e-01
41631.400 4.986780e-01
41645.000 4.988580e-01
41658.500 4.990470e-01
41672.000 4.992350e-01
41685.500 4.994200e-01
41699.000 4.995970e-01
41712.500 4.997640e-01
41726.000 4.999120e-01
41739.500 5.000480e-01
41753.100 5.001690e-01
41766.600 5.002760e-01
41780.100 5.003720e-01
41793.600 5.004630e-01
41807.100 5.005370e-01
41820.600 5.005990e-01
41834.100 5.006520e-01
41847.600 5.006940e-01
41861.100 5.007160e-01
41874.700 5.007110e-01
41888.200 5.006790e-01
41901.700 5.006170e-01
41915.200 5.005200e-01
41928.700 5.004010e-01
41942.200 5.008280e-01
41955.700 5.006610e-01
41969.200 5.004780e-01
41982.800 5.002840e-01
41996.300 5.000780e-01
42009.800 4.998460e-01
42023.300 4.996040e-01
42036.800 4.997240e-01
42050.300 4.996280e-01
42063.800 4.993360e-01
42077.300 4.990360e-01
42090.900 4.987150e-01
42104.400 4.983800e-01
42117.900 4.980390e-01
42131.400 4.976970e-01
42144.900 4.973500e-01
42158.400 4.970000e-01
42171.900 4.966520e-01
42185.400 4.963110e-01
42199.000 4.959640e-01
42212.500 4.956060e-01
42226.000 4.952490e-01
42239.500 4.948900e-01
42253.000 4.945160e-01
42266.500 4.941260e-01
42280.000 4.937150e-01
42293.500 4.932790e-01
42307.100 4.928170e-01
42320.600 4.923450e-01
42334.100 4.918550e-01
42347.600 4.913290e-01
42361.100 4.907680e-01
42374.600 4.901800e-01
42388.100 4.895500e-01
42401.600 4.888660e-01
42415.200 4.881240e-01
42428.700 4.878090e-01
42442.200 4.869940e-01
42455.700 4.859730e-01
42469.200 4.848430e-01
42482.700 4.841270e-01
42496.200 4.827450e-01
42509.700 4.811570e-01
42523.300 4.794240e-01
42536.800 4.775260e-01
42550.300 4.754500e-01
42563.800 4.731430e-01
42577.300 4.706180e-01
42590.800 4.678750e-01
42604.300 4.646200e-01
42617.800 4.605240e-01
42631.400 4.560980e-01
42644.900 4.514050e-01
42658.400 4.464470e-01
42671.900 4.412310e-01
42685.400 4.356550e-01
42698.900 4.297720e-01
42712.400 4.232560e-01
42725.900 4.164680e-01
42739.500 4.093770e-01
42753.000 4.019620e-01
42766.500 3.943320e-01
42780.000 3.864980e-01
42793.500 3.784310e-01
42807.000 3.715080e-01
42820.500 3.657130e-01
42834.000 3.596580e-01
42847.500 3.533530e-01
42861.100 3.466340e-01
42874.600 3.397120e-01
42888.100 3.326070e-01
42901.600 3.251610e-01
42915.100 3.162090e-01
42928.600 3.072080e-01
42942.100 2.986030e-01
42955.600 2.898500e-01
42969.200 2.807730e-01
42982.700 2.717230e-01
42996.200 2.627460e-01
43009.700 2.538260e-01
43023.200 2.449510e-01
43036.700 2.361830e-01
43050.200 2.275660e-01
43063.700 2.191070e-01
43077.300 2.107920e-01
43090.800 2.026480e-01
43104.300 1.947010e-01
43117.800 1.869530e-01
43131.300 1.793950e-01
43144.800 1.720400e-01
43158.300 1.648960e-01
43171.800 1.579610e-01
43185.400 1.512290e-01
43198.900 1.447040e-01
43212.400 1.383930e-01
43225.900 1.322890e-01
43239.400 1.263900e-01
43252.900 1.206970e-01
43266.400 1.152050e-01
43279.900 1.099130e-01
43293.500 1.048180e-01
