# F115W  source: SVO FPS id=JWST/NIRCam.F115W
# wavelength[AA] transmission
9892.000 1.168060e-04
9902.000 1.399150e-04
9912.000 1.656420e-04
9922.000 1.946680e-04
9932.000 2.277980e-04
9942.000 2.664340e-04
9952.000 3.121480e-04
9962.000 3.691720e-04
9972.000 4.420970e-04
9982.000 1.300690e-02
9992.000 2.707560e-02
10002.000 4.281480e-02
10012.000 4.768320e-02
10022.000 5.347470e-02
10032.000 5.940430e-02
10042.000 6.679100e-02
10052.000 7.495990e-02
10062.000 8.554680e-02
10072.000 9.737470e-02
10082.000 1.108930e-01
10092.000 1.259600e-01
10102.000 1.420390e-01
10112.000 1.597270e-01
10122.000 1.778100e-01
10132.000 1.960570e-01
10142.000 2.123240e-01
10152.000 2.263300e-01
10162.000 2.364600e-01
10172.000 2.437000e-01
10182.000 2.474390e-01
10192.000 2.496300e-01
10202.000 2.497940e-01
10212.000 2.502620e-01
10222.000 2.500790e-01
10232.000 2.501140e-01
10242.000 2.498460e-01
10252.000 2.503140e-01
10262.000 2.507570e-01
10272.000 2.517060e-01
10282.000 2.527470e-01
10292.000 2.538780e-01
10302.000 2.550830e-01
10312.000 2.562750e-01
10322.000 2.586640e-01
10332.000 2.601330e-01
10342.000 2.624020e-01
10352.000 2.639880e-01
10362.000 2.656270e-01
10372.000 2.659550e-01
10382.000 2.677060e-01
10392.000 2.692780e-01
10402.000 2.709170e-01
10412.000 2.711630e-01
10422.000 2.718700e-01
10432.000 2.719190e-01
10442.000 2.723910e-01
10452.000 2.731660e-01
10462.000 2.740930e-01
10472.000 2.749270e-01
10482.000 2.758980e-01
10492.000 2.764970e-01
10502.000 2.772660e-01
10512.000 2.788090e-01
10522.000 2.801590e-01
10532.000 2.808620e-01
10542.000 2.818720e-01
10552.000 2.824270e-01
10562.000 2.824480e-01
10572.000 2.817220e-01
10582.000 2.817340e-01
10592.000 2.816700e-01
10602.000 2.809760e-01
10612.000 2.802400e-01
10622.000 2.793730e-01
10632.000 2.780580e-01
10642.000 2.771500e-01
10652.000 2.760850e-01
10662.000 2.756180e-01
10672.000 2.735290e-01
10682.000 2.721270e-01
10692.000 2.702090e-01
10702.000 2.681160e-01
10712.000 2.665010e-01
10722.000 2.651650e-01
10732.000 2.637770e-01
10742.000 2.617780e-01
10752.000 2.604880e-01
10762.000 2.599500e-01
10772.000 2.589100e-01
10782.000 2.587450e-01
10792.000 2.585550e-01
10802.000 2.585480e-01
10812.000 2.588410e-01
10822.000 2.598100e-01
10832.000 2.601750e-01
10842.000 2.610000e-01
10852.000 2.617260e-01
10862.000 2.636380e-01
10872.000 2.647950e-01
10882.000 2.667850e-01
10892.000 2.686920e-01
10902.000 2.713330e-01
10912.000 2.734750e-01
10922.000 2.760840e-01
10932.000 2.784590e-01
10942.000 2.808500e-01
10952.000 2.830390e-01
10962.000 2.848880e-01
10972.000 2.876150e-01
10982.000 2.896550e-01
10992.000 2.917040e-01
11002.000 2.925020e-01
11012.000 2.935580e-01
11022.000 2.944590e-01
11032.000 2.956350e-01
11042.000 2.964960e-01
11052.000 2.974220e-01
11062.000 2.974730e-01
11072.000 2.975710e-01
11082.000 2.973810e-01
11092.000 2.968030e-01
11102.000 2.970830e-01
11112.000 2.971430e-01
11122.000 2.974680e-01
11132.000 2.969010e-01
11142.000 2.967920e-01
11152.000 2.966290e-01
11162.000 2.959200e-01
11172.000 2.951690e-01
11182.000 2.945060e-01
11192.000 2.940960e-01
11202.000 2.940670e-01
11212.000 2.931780e-01
11222.000 2.927890e-01
11232.000 2.915730e-01
11242.000 2.918610e-01
11252.000 2.921590e-01
11262.000 2.932130e-01
11272.000 2.936920e-01
11282.000 2.948940e-01
11292.000 2.957150e-01
11302.000 2.971110e-01
11312.000 2.978510e-01
11322.000 2.995030e-01
11332.000 3.004850e-01
11342.000 3.019660e-01
11352.000 3.029310e-01
11362.000 3.041670e-01
11372.000 3.057110e-01
11382.000 3.067050e-01
11392.000 3.080890e-01
11402.000 3.086440e-01
11412.000 3.106900e-01
11422.000 3.128120e-01
11432.000 3.148930e-01
11442.000 3.172260e-01
11452.000 3.193560e-01
11462.000 3.207980e-01
11472.000 3.224670e-01
11482.000 3.239790e-01
11492.000 3.261020e-01
11502.000 3.277720e-01
11512.000 3.295880e-01
11522.000 3.315840e-01
11532.000 3.327440e-01
11542.000 3.342140e-01
11552.000 3.360250e-01
11562.000 3.379230e-01
11572.000 3.401380e-01
11582.000 3.416340e-01
11592.000 3.440800e-01
11602.000 3.450970e-01
11612.000 3.467790e-01
11622.000 3.478880e-01
11632.000 3.497320e-01
11642.000 3.508850e-01
11652.000 3.518260e-01
11662.000 3.525880e-01
11672.000 3.536410e-01
11682.000 3.542040e-01
11692.000 3.545010e-01
11702.000 3.547970e-01
11712.000 3.550880e-01
11722.000 3.555200e-01
11732.000 3.554770e-01
11742.000 3.558960e-01
11752.000 3.566810e-01
11762.000 3.562630e-01
11772.000 3.566780e-01
11782.000 3.561030e-01
11792.000 3.556880e-01
11802.000 3.551650e-01
11812.000 3.555610e-01
11822.000 3.564530e-01
11832.000 3.560690e-01
11842.000 3.555800e-01
11852.000 3.550000e-01
11862.000 3.545570e-01
11872.000 3.532750e-01
11882.000 3.529530e-01
11892.000 3.533790e-01
11902.000 3.541290e-01
11912.000 3.535570e-01
11922.000 3.516530e-01
11932.000 3.512510e-01
11942.000 3.504080e-01
11952.000 3.496560e-01
11962.000 3.485110e-01
11972.000 3.482650e-01
11982.000 3.481410e-01
11992.000 3.480570e-01
12002.000 3.478520e-01
12012.000 3.484420e-01
12022.000 3.485800e-01
12032.000 3.479410e-01
12042.000 3.482500e-01
12052.000 3.481360e-01
12062.000 3.481150e-01
12072.000 3.479880e-01
12082.000 3.479820e-01
12092.000 3.492960e-01
12102.000 3.488690e-01
12112.000 3.494760e-01
12122.000 3.490370e-01
12132.000 3.500360e-01
12142.000 3.500200e-01
12152.000 3.507200e-01
12162.000 3.504680e-01
12172.000 3.506730e-01
12182.000 3.517790e-01
12192.000 3.527030e-01
12202.000 3.537630e-01
12212.000 3.549260e-01
12222.000 3.569150e-01
12232.000 3.585730e-01
12242.000 3.596690e-01
12252.000 3.610080e-01
12262.000 3.628730e-01
12272.000 3.648770e-01
12282.000 3.664370e-01
12292.000 3.676850e-01
12302.000 3.694520e-01
12312.000 3.705290e-01
12322.000 3.722970e-01
12332.000 3.728610e-01
12342.000 3.744570e-01
12352.000 3.753150e-01
12362.000 3.762340e-01
12372.000 3.769280e-01
12382.000 3.775390e-01
12392.000 3.777410e-01
12402.000 3.788800e-01
12412.000 3.795770e-01
12422.000 3.814160e-01
12432.000 3.821100e-01
12442.000 3.835250e-01
12452.000 3.844480e-01
12462.000 3.852560e-01
12472.000 3.854060e-01
12482.000 3.860510e-01
12492.000 3.871270e-01
12502.000 3.876880e-01
12512.000 3.891730e-01
12522.000 3.900860e-01
12532.000 3.909780e-01
12542.000 3.908210e-01
12552.000 3.905630e-01
12562.000 3.907580e-01
12572.000 3.916170e-01
12582.000 3.916900e-01
12592.000 3.921220e-01
12602.000 3.918420e-01
12612.000 3.921660e-01
12622.000 3.922450e-01
12632.000 3.920150e-01
12642.000 3.918420e-01
12652.000 3.919820e-01
12662.000 3.910400e-01
12672.000 3.910730e-01
12682.000 3.905290e-01
12692.000 3.901810e-01
12702.000 3.878850e-01
12712.000 3.845980e-01
12722.000 3.792510e-01
12732.000 3.731980e-01
12742.000 3.640330e-01
12752.000 3.522370e-01
12762.000 3.352590e-01
12772.000 3.149720e-01
12782.000 2.903590e-01
12792.000 2.630720e-01
12802.000 2.340540e-01
12812.000 2.054860e-01
12822.000 1.784130e-01
12832.000 1.541840e-01
12842.000 1.328070e-01
12852.000 1.143770e-01
12862.000 9.793530e-02
12872.000 8.415730e-02
12882.000 7.206760e-02
12892.000 6.253240e-02
12902.000 5.430580e-02
12912.000 4.763940e-02
12922.000 4.160980e-02
12932.000 3.688600e-02
12942.000 3.257050e-02
12952.000 2.904120e-02
12962.000 2.542400e-02
12972.000 2.186520e-02
12982.000 1.821250e-02
12992.000 1.493790e-02
13002.000 1.217450e-02
13012.000 9.866140e-03
13022.000 7.998530e-03
13032.000 6.483830e-03
13042.000 5.287630e-03
13052.000 4.306470e-03
13062.000 3.511600e-03
13072.000 2.872800e-03
13082.000 2.367550e-03
13092.000 1.965100e-03
13102.000 1.636830e-03
13112.000 1.367090e-03
13122.000 1.146440e-03
13132.000 9.689620e-04
13142.000 8.187600e-04
13152.000 6.946820e-04
13162.000 5.900080e-04
13172.000 5.036280e-04
13182.000 4.314230e-04
13192.000 3.703280e-04
13202.000 3.181900e-04
13212.000 2.751660e-04
13222.000 2.389610e-04
13232.000 2.086680e-04
13242.000 1.821930e-04
13252.000 1.590020e-04
13262.000 1.398110e-04
13272.000 1.229790e-04
13282.000 1.086550e-04
