# F335M  source: SVO FPS id=JWST/NIRCam.F335M
# wavelength[AA] transmission
30281.100 1.034070e-04
30294.600 1.092830e-04
30308.100 1.135670e-04
30321.600 1.156910e-04
30335.100 1.183110e-04
30348.700 1.220040e-04
30362.200 1.267570e-04
30375.700 1.325260e-04
30389.200 1.356790e-04
30402.700 1.419450e-04
30416.200 1.464140e-04
30429.700 1.547160e-04
30443.200 1.611790e-04
30456.800 1.714590e-04
30470.300 1.811160e-04
30483.800 1.928420e-04
30497.300 2.015950e-04
30510.800 2.116210e-04
30524.300 2.231820e-04
30537.800 2.365630e-04
30551.300 2.503510e-04
30564.900 2.628290e-04
30578.400 2.768050e-04
30591.900 2.938850e-04
30605.400 3.120400e-04
30618.900 3.303800e-04
30632.400 3.515390e-04
30645.900 3.738640e-04
30659.400 3.982200e-04
30673.000 4.193860e-04
30686.500 4.434690e-04
30700.000 4.663220e-04
30713.500 4.934770e-04
30727.000 5.210880e-04
30740.500 5.514050e-04
30754.000 5.802500e-04
30767.500 6.155820e-04
30781.100 6.491620e-04
30794.600 6.865160e-04
30808.100 7.241620e-04
30821.600 7.644620e-04
30835.100 8.042250e-04
30848.600 8.523500e-04
30862.100 9.012270e-04
30875.600 9.530440e-04
30889.200 1.004490e-03
30902.700 1.063270e-03
30916.200 1.125630e-03
30929.700 1.194810e-03
30943.200 1.265990e-03
30956.700 1.341770e-03
30970.200 1.423730e-03
30983.700 1.517040e-03
30997.200 1.621150e-03
31010.800 1.730110e-03
31024.300 1.841570e-03
31037.800 1.967740e-03
31051.300 2.104540e-03
31064.800 2.251720e-03
31078.300 2.416650e-03
31091.800 2.599290e-03
31105.300 2.800140e-03
31118.900 3.020450e-03
31132.400 3.262560e-03
31145.900 3.539200e-03
31159.400 3.847650e-03
31172.900 4.189030e-03
31186.400 4.566090e-03
31199.900 4.986220e-03
31213.400 5.469020e-03
31227.000 6.005810e-03
31240.500 6.605000e-03
31254.000 7.282660e-03
31267.500 8.043630e-03
31281.000 8.899400e-03
31294.500 9.861720e-03
31308.000 1.094570e-02
31321.500 1.217150e-02
31335.100 1.355850e-02
31348.600 1.512200e-02
31362.100 1.689410e-02
31375.600 1.889570e-02
31389.100 2.116240e-02
31402.600 2.372020e-02
31416.100 2.661840e-02
31429.600 2.988330e-02
31443.200 3.356260e-02
31456.700 3.768380e-02
31470.200 4.229170e-02
31483.700 4.746210e-02
31497.200 5.313930e-02
31510.700 5.935930e-02
31524.200 6.615420e-02
31537.700 7.350230e-02
31551.300 8.137690e-02
31564.800 8.975720e-02
31578.300 9.852110e-02
31591.800 1.076480e-01
31605.300 1.170160e-01
31618.800 1.265170e-01
31632.300 1.361580e-01
31645.800 1.456960e-01
31659.400 1.552300e-01
31672.900 1.646240e-01
31686.400 1.738540e-01
31699.900 1.829730e-01
31713.400 1.919760e-01
31726.900 2.010450e-01
31740.400 2.098990e-01
31753.900 2.185350e-01
31767.500 2.271140e-01
31781.000 2.355340e-01
31794.500 2.438780e-01
31808.000 2.520730e-01
31821.500 2.600750e-01
31835.000 2.679780e-01
31848.500 2.756910e-01
31862.000 2.832320e-01
31875.500 2.906140e-01
31889.100 2.977260e-01
31902.600 3.046340e-01
31916.100 3.113130e-01
31929.600 3.177120e-01
31943.100 3.238790e-01
31956.600 3.297560e-01
31970.100 3.353760e-01
31983.600 3.411550e-01
31997.200 3.462330e-01
32010.700 3.510470e-01
32024.200 3.556020e-01
32037.700 3.598800e-01
32051.200 3.639400e-01
32064.700 3.677630e-01
32078.200 3.713580e-01
32091.700 3.747570e-01
32105.300 3.779230e-01
32118.800 3.808920e-01
32132.300 3.832710e-01
32145.800 3.858740e-01
32159.300 3.883340e-01
32172.800 3.906330e-01
32186.300 3.927720e-01
32199.800 3.947800e-01
32213.400 3.969510e-01
32226.900 3.991560e-01
32240.400 4.009540e-01
32253.900 4.026400e-01
32267.400 4.042170e-01
32280.900 4.057190e-01
32294.400 4.071460e-01
32307.900 4.083650e-01
32321.500 4.094190e-01
32335.000 4.104180e-01
32348.500 4.113560e-01
32362.000 4.122580e-01
32375.500 4.130970e-01
32389.000 4.138980e-01
32402.500 4.146370e-01
32416.000 4.152940e-01
32429.600 4.159140e-01
32443.100 4.166620e-01
32456.600 4.175710e-01
32470.100 4.181060e-01
32483.600 4.186130e-01
32497.100 4.190740e-01
32510.600 4.196150e-01
32524.100 4.201720e-01
32537.700 4.207280e-01
32551.200 4.212630e-01
32564.700 4.217880e-01
32578.200 4.222960e-01
32591.700 4.228100e-01
32605.200 4.232890e-01
32618.700 4.237110e-01
32632.200 4.241290e-01
32645.800 4.245370e-01
32659.300 4.249520e-01
32672.800 4.255110e-01
32686.300 4.262990e-01
32699.800 4.267250e-01
32713.300 4.270550e-01
32726.800 4.273730e-01
32740.300 4.276970e-01
32753.900 4.280290e-01
32767.400 4.283770e-01
