# F200W  source: SVO FPS id=JWST/NIRCam.F200W
# wavelength[AA] transmission
16904.000 1.015810e-04
16914.000 1.107120e-04
16924.000 1.213380e-04
16934.000 1.331090e-04
16944.000 1.469150e-04
16954.000 1.617730e-04
16964.000 1.790870e-04
16974.000 1.996730e-04
16984.000 2.219620e-04
16994.000 2.482480e-04
17004.000 2.788010e-04
17014.000 3.125260e-04
17024.000 3.520110e-04
17034.000 3.976730e-04
17044.000 4.497010e-04
17054.000 5.083720e-04
17064.000 5.752740e-04
17074.000 6.522130e-04
17084.000 7.382380e-04
17094.000 8.362840e-04
17104.000 9.494270e-04
17114.000 1.074320e-03
17124.000 1.214320e-03
17134.000 1.375580e-03
17144.000 1.556170e-03
17154.000 1.761300e-03
17164.000 2.002690e-03
17174.000 2.274030e-03
17184.000 2.577770e-03
17194.000 2.930510e-03
17204.000 3.336270e-03
17214.000 3.807210e-03
17224.000 4.363620e-03
17234.000 5.014740e-03
17244.000 5.765850e-03
17254.000 6.649220e-03
17264.000 7.710390e-03
17274.000 8.970690e-03
17284.000 1.048010e-02
17294.000 1.231270e-02
17304.000 1.444730e-02
17314.000 1.693790e-02
17324.000 1.992790e-02
17334.000 2.326940e-02
17344.000 2.682520e-02
17354.000 3.040090e-02
17364.000 3.408240e-02
17374.000 3.776260e-02
17384.000 4.187120e-02
17394.000 4.618650e-02
17404.000 5.094890e-02
17414.000 5.649300e-02
17424.000 6.281980e-02
17434.000 7.005350e-02
17444.000 7.808930e-02
17454.000 8.759740e-02
17464.000 9.829980e-02
17474.000 1.109930e-01
17484.000 1.257880e-01
17494.000 1.423670e-01
17504.000 1.606480e-01
17514.000 1.806030e-01
17524.000 2.011320e-01
17534.000 2.223010e-01
17544.000 2.436150e-01
17554.000 2.643620e-01
17564.000 2.836020e-01
17574.000 3.016310e-01
17584.000 3.178430e-01
17594.000 3.323980e-01
17604.000 3.455630e-01
17614.000 3.578120e-01
17624.000 3.691670e-01
17634.000 3.797840e-01
17644.000 3.898830e-01
17654.000 3.997430e-01
17664.000 4.093920e-01
17674.000 4.180400e-01
17684.000 4.258000e-01
