# RomanF129  source: SVO FPS id=Roman/WFI.F129
# wavelength[AA] transmission
10800.000 2.000000e-04
10850.000 7.000000e-04
10900.000 2.700000e-03
10950.000 9.100000e-03
11000.000 2.670000e-02
11050.000 6.890000e-02
11100.000 1.566000e-01
11150.000 3.153000e-01
11200.000 5.645000e-01
11250.000 9.041000e-01
11300.000 1.307000e+00
11350.000 1.721400e+00
11400.000 2.091900e+00
11450.000 2.379200e+00
11500.000 2.574500e+00
11550.000 2.688600e+00
11600.000 2.747300e+00
11650.000 2.775300e+00
11700.000 2.786500e+00
11750.000 2.792600e+00
11800.000 2.796600e+00
11850.000 2.798300e+00
11900.000 2.801600e+00
11950.000 2.804900e+00
12000.000 2.806400e+00
12050.000 2.808300e+00
12100.000 2.811900e+00
12150.000 2.815600e+00
12200.000 2.817600e+00
12250.000 2.820800e+00
12300.000 2.824200e+00
12350.000 2.826500e+00
12400.000 2.828500e+00
12450.000 2.831000e+00
12500.000 2.831300e+00
12550.000 2.832400e+00
12600.000 2.832700e+00
12650.000 2.832100e+00
12700.000 2.831200e+00
12750.000 2.830900e+00
12800.000 2.830500e+00
12850.000 2.828600e+00
12900.000 2.828500e+00
12950.000 2.827900e+00
13000.000 2.827600e+00
13050.000 2.828800e+00
13100.000 2.828700e+00
13150.000 2.830400e+00
13200.000 2.832300e+00
13250.000 2.832800e+00
13300.000 2.835300e+00
13350.000 2.837900e+00
13400.000 2.839000e+00
13450.000 2.841700e+00
13500.000 2.844800e+00
13550.000 2.846700e+00
13600.000 2.850300e+00
13650.000 2.852600e+00
13700.000 2.856300e+00
13750.000 2.860200e+00
13800.000 2.862300e+00
13850.000 2.866400e+00
13900.000 2.868800e+00
13950.000 2.869700e+00
14000.000 2.869300e+00
14050.000 2.865100e+00
14100.000 2.855800e+00
14150.000 2.837400e+00
14200.000 2.803900e+00
14250.000 2.745000e+00
14300.000 2.645300e+00
14350.000 2.494900e+00
14400.000 2.284400e+00
14450.000 2.015800e+00
14500.000 1.704100e+00
14550.000 1.370400e+00
14600.000 1.041900e+00
14650.000 7.453000e-01
14700.000 4.996000e-01
14750.000 3.129000e-01
14800.000 1.823000e-01
14850.000 9.880000e-02
14900.000 4.960000e-02
14950.000 2.310000e-02
15000.000 9.900000e-03
15050.000 3.900000e-03
15100.000 1.400000e-03
15150.000 5.000000e-04
