# RomanF184  source: SVO FPS id=Roman/WFI.F184
# wavelength[AA] transmission
16100.000 3.000000e-04
16150.000 8.000000e-04
16200.000 1.900000e-03
16250.000 4.500000e-03
16300.000 9.900000e-03
16350.000 2.050000e-02
16400.000 4.030000e-02
16450.000 7.460000e-02
16500.000 1.304000e-01
16550.000 2.158000e-01
16600.000 3.381000e-01
16650.000 5.026000e-01
16700.000 7.100000e-01
16750.000 9.548000e-01
16800.000 1.226200e+00
16850.000 1.509200e+00
16900.000 1.784600e+00
16950.000 2.036500e+00
17000.000 2.254200e+00
17050.000 2.430000e+00
17100.000 2.563400e+00
17150.000 2.658100e+00
17200.000 2.722900e+00
17250.000 2.763000e+00
17300.000 2.786900e+00
17350.000 2.801100e+00
17400.000 2.808900e+00
17450.000 2.812200e+00
17500.000 2.815000e+00
17550.000 2.814000e+00
17600.000 2.813800e+00
17650.000 2.811500e+00
17700.000 2.808700e+00
17750.000 2.805900e+00
17800.000 2.803000e+00
17850.000 2.801700e+00
17900.000 2.799100e+00
17950.000 2.797000e+00
18000.000 2.794100e+00
18050.000 2.792300e+00
18100.000 2.792800e+00
18150.000 2.791400e+00
18200.000 2.793100e+00
18250.000 2.794400e+00
18300.000 2.796000e+00
18350.000 2.797600e+00
18400.000 2.799300e+00
18450.000 2.801000e+00
18500.000 2.802600e+00
18550.000 2.804000e+00
18600.000 2.805500e+00
18650.000 2.808400e+00
18700.000 2.809700e+00
18750.000 2.812300e+00
18800.000 2.813400e+00
18850.000 2.814200e+00
18900.000 2.813400e+00
18950.000 2.813700e+00
19000.000 2.813700e+00
19050.000 2.813000e+00
19100.000 2.813300e+00
19150.000 2.811800e+00
19200.000 2.809800e+00
19250.000 2.808400e+00
19300.000 2.804500e+00
19350.000 2.800200e+00
19400.000 2.792700e+00
19450.000 2.782600e+00
19500.000 2.763200e+00
19550.000 2.732900e+00
19600.000 2.685700e+00
19650.000 2.617500e+00
19700.000 2.526100e+00
19750.000 2.404700e+00
19800.000 2.253000e+00
19850.000 2.071500e+00
19900.000 1.864000e+00
19950.000 1.637100e+00
20000.000 1.400600e+00
20050.000 1.163500e+00
20100.000 9.370000e-01
20150.000 7.304000e-01
20200.000 5.501000e-01
20250.000 3.998000e-01
20300.000 2.801000e-01
20350.000 1.890000e-01
20400.000 1.227000e-01
20450.000 7.650000e-02
20500.000 4.590000e-02
20550.000 2.640000e-02
20600.000 1.460000e-02
20650.000 7.700000e-03
20700.000 3.900000e-03
20750.000 1.900000e-03
20800.000 9.000000e-04
20850.000 4.000000e-04
