# RomanF213  source: SVO FPS id=Roman/WFI.F213
# wavelength[AA] transmission
18650.000 3.000000e-04
18700.000 6.000000e-04
18750.000 1.400000e-03
18800.000 3.000000e-03
18850.000 6.200000e-03
18900.000 1.210000e-02
18950.000 2.250000e-02
19000.000 4.010000e-02
19050.000 6.850000e-02
19100.000 1.122000e-01
19150.000 1.761000e-01
19200.000 2.653000e-01
19250.000 3.843000e-01
19300.000 5.350000e-01
19350.000 7.176000e-01
19400.000 9.283000e-01
19450.000 1.161000e+00
19500.000 1.404600e+00
19550.000 1.648400e+00
19600.000 1.879900e+00
19650.000 2.089500e+00
19700.000 2.272200e+00
19750.000 2.421800e+00
19800.000 2.539200e+00
19850.000 2.627100e+00
19900.000 2.689800e+00
19950.000 2.732400e+00
20000.000 2.761200e+00
20050.000 2.778100e+00
20100.000 2.788000e+00
20150.000 2.793500e+00
20200.000 2.796500e+00
20250.000 2.798100e+00
20300.000 2.799000e+00
20350.000 2.801300e+00
20400.000 2.801700e+00
20450.000 2.802400e+00
20500.000 2.803100e+00
20550.000 2.805300e+00
20600.000 2.805900e+00
20650.000 2.808300e+00
20700.000 2.809200e+00
20750.000 2.810400e+00
20800.000 2.813000e+00
20850.000 2.814400e+00
20900.000 2.816000e+00
20950.000 2.817700e+00
21000.000 2.819500e+00
21050.000 2.821900e+00
21100.000 2.824500e+00
21150.000 2.828000e+00
21200.000 2.831500e+00
21250.000 2.832700e+00
21300.000 2.836900e+00
21350.000 2.839300e+00
21400.000 2.841400e+00
21450.000 2.844800e+00
21500.000 2.845900e+00
21550.000 2.846500e+00
21600.000 2.846700e+00
21650.000 2.847300e+00
21700.000 2.847400e+00
21750.000 2.846600e+00
21800.000 2.845400e+00
21850.000 2.844000e+00
21900.000 2.842400e+00
21950.000 2.842200e+00
22000.000 2.841300e+00
22050.000 2.840700e+00
22100.000 2.837800e+00
22150.000 2.833500e+00
22200.000 2.829900e+00
22250.000 2.822400e+00
22300.000 2.814300e+00
22350.000 2.802600e+00
22400.000 2.787200e+00
22450.000 2.764000e+00
22500.000 2.731000e+00
22550.000 2.687500e+00
22600.000 2.625200e+00
22650.000 2.545500e+00
22700.000 2.444100e+00
22750.000 2.319500e+00
22800.000 2.171500e+00
22850.000 2.001500e+00
22900.000 1.813000e+00
22950.000 1.610900e+00
23000.000 1.402700e+00
23050.000 1.193600e+00
23100.000 9.932000e-01
23150.000 8.058000e-01
23200.000 6.367000e-01
23250.000 4.900000e-01
23300.000 3.670000e-01
23350.000 2.668000e-01
23400.000 1.886000e-01
23450.000 1.294000e-01
23500.000 8.600000e-02
23550.000 5.550000e-02
23600.000 3.470000e-02
23650.000 2.100000e-02
23700.000 1.230000e-02
23750.000 7.000000e-03
23800.000 3.900000e-03
23850.000 2.100000e-03
23900.000 1.100000e-03
23950.000 5.000000e-04
