# RomanF106  source: SVO FPS id=Roman/WFI.F106
# wavelength[AA] transmission
8850.000 1.000000e-04
8900.000 9.000000e-04
8950.000 4.400000e-03
9000.000 1.780000e-02
9050.000 5.940000e-02
9100.000 1.639000e-01
9150.000 3.771000e-01
9200.000 7.298000e-01
9250.000 1.202200e+00
9300.000 1.715800e+00
9350.000 2.169000e+00
9400.000 2.490800e+00
9450.000 2.676300e+00
9500.000 2.761700e+00
9550.000 2.793200e+00
9600.000 2.802500e+00
9650.000 2.801900e+00
9700.000 2.800600e+00
9750.000 2.797000e+00
9800.000 2.794800e+00
9850.000 2.791200e+00
9900.000 2.787200e+00
9950.000 2.785000e+00
10000.000 2.781600e+00
10050.000 2.779900e+00
10100.000 2.778400e+00
10150.000 2.777000e+00
10200.000 2.775700e+00
10250.000 2.774500e+00
10300.000 2.773500e+00
10350.000 2.771100e+00
10400.000 2.770600e+00
10450.000 2.770100e+00
10500.000 2.769900e+00
10550.000 2.770000e+00
10600.000 2.770300e+00
10650.000 2.770800e+00
10700.000 2.771500e+00
10750.000 2.772300e+00
10800.000 2.773200e+00
10850.000 2.775600e+00
10900.000 2.776300e+00
10950.000 2.777100e+00
11000.000 2.779200e+00
11050.000 2.777800e+00
11100.000 2.777800e+00
11150.000 2.779100e+00
11200.000 2.780300e+00
11250.000 2.780000e+00
11300.000 2.781500e+00
11350.000 2.782100e+00
11400.000 2.782700e+00
11450.000 2.782300e+00
11500.000 2.781500e+00
11550.000 2.774800e+00
11600.000 2.756600e+00
11650.000 2.715700e+00
11700.000 2.630600e+00
11750.000 2.482200e+00
11800.000 2.251700e+00
11850.000 1.936600e+00
11900.000 1.560400e+00
11950.000 1.163700e+00
12000.000 7.949000e-01
12050.000 4.936000e-01
12100.000 2.771000e-01
12150.000 1.398000e-01
12200.000 6.310000e-02
12250.000 2.540000e-02
12300.000 9.100000e-03
12350.000 2.900000e-03
12400.000 8.000000e-04
12450.000 2.000000e-04
