# F150W  source: SVO FPS id=JWST/NIRCam.F150W
# wavelength[AA] transmission
12797.900 1.140180e-04
12807.900 1.309040e-04
12817.900 1.505530e-04
12827.900 1.727600e-04
12837.900 1.982650e-04
12847.900 2.273380e-04
12857.900 2.615160e-04
12867.900 3.026310e-04
12877.900 3.462760e-04
12887.900 4.019400e-04
12897.900 4.667040e-04
12907.900 5.394740e-04
12917.900 6.251610e-04
12927.900 7.381850e-04
12937.900 8.609260e-04
12947.900 1.006880e-03
12957.900 1.201390e-03
12967.900 1.421810e-03
12977.900 1.693820e-03
12987.900 2.043970e-03
12997.900 2.461390e-03
13007.900 2.972290e-03
13017.900 3.618020e-03
13027.900 4.412970e-03
13037.900 5.357650e-03
13047.900 6.494370e-03
13057.900 7.803390e-03
13067.900 9.026630e-03
13077.900 9.894390e-03
13087.900 1.098510e-02
13097.900 1.194220e-02
13107.900 1.307910e-02
13117.900 1.451650e-02
13127.900 1.627480e-02
13137.900 1.814050e-02
13147.900 2.070800e-02
13157.900 2.289070e-02
13167.900 2.622770e-02
13177.900 2.972410e-02
13187.900 3.469170e-02
13197.900 4.007400e-02
13207.900 4.754860e-02
13217.900 5.569050e-02
13227.900 6.595810e-02
13237.900 7.694760e-02
13247.900 9.126550e-02
13257.900 1.052730e-01
13267.900 1.226190e-01
13277.900 1.414420e-01
13287.900 1.631530e-01
13297.900 1.863280e-01
13307.900 2.114120e-01
13317.900 2.360190e-01
13327.900 2.606680e-01
13337.900 2.847540e-01
13347.900 3.060250e-01
13357.900 3.248490e-01
13367.900 3.406040e-01
13377.900 3.538100e-01
13387.900 3.635840e-01
13397.900 3.708720e-01
13407.900 3.759960e-01
13417.900 3.793460e-01
13427.900 3.817220e-01
13437.900 3.851530e-01
13447.900 3.844080e-01
13457.900 3.859710e-01
13467.900 3.881450e-01
13477.900 3.885800e-01
13487.900 3.898360e-01
13497.900 3.906280e-01
13507.900 3.924130e-01
13517.900 3.928870e-01
13527.900 3.931850e-01
13537.900 3.945780e-01
13547.900 3.937620e-01
13557.900 3.943910e-01
13567.900 3.943740e-01
13577.900 3.939100e-01
13587.900 3.937820e-01
13597.900 3.933190e-01
13607.900 3.926140e-01
13617.900 3.919820e-01
13627.900 3.907990e-01
13637.900 3.910440e-01
13647.900 3.918160e-01
13657.900 3.918510e-01
13667.900 3.905660e-01
13677.900 3.902300e-01
13687.900 3.911940e-01
13697.900 3.908830e-01
13707.900 3.919500e-01
13717.900 3.918050e-01
13727.900 3.908140e-01
13737.900 3.908280e-01
13747.900 3.906740e-01
13757.900 3.908310e-01
13767.900 3.905710e-01
13777.900 3.906990e-01
13787.900 3.902580e-01
13797.900 3.897780e-01
13807.900 3.889640e-01
13817.900 3.889340e-01
13827.900 3.903050e-01
13837.900 3.895720e-01
13847.900 3.892600e-01
13857.900 3.895560e-01
13867.900 3.895870e-01
13877.900 3.883300e-01
13887.900 3.887510e-01
13897.900 3.897240e-01
13907.900 3.902490e-01
13917.900 3.896950e-01
13927.900 3.909390e-01
13937.900 3.907520e-01
13947.900 3.916940e-01
13957.900 3.922990e-01
13967.900 3.926020e-01
13977.900 3.943880e-01
13987.900 3.946540e-01
13997.900 3.948580e-01
14007.900 3.965930e-01
14017.900 3.970730e-01
14027.900 3.977620e-01
14037.900 3.987750e-01
14047.900 3.991820e-01
14057.900 4.007760e-01
14067.900 4.010690e-01
14077.900 4.010400e-01
14087.900 4.023240e-01
14097.900 4.033950e-01
14107.900 4.027410e-01
14117.900 4.044250e-01
14127.900 4.051290e-01
14137.900 4.065790e-01
14147.900 4.065830e-01
14157.900 4.073860e-01
14167.900 4.085210e-01
14177.900 4.079320e-01
14187.900 4.096960e-01
14197.900 4.097090e-01
14207.900 4.100560e-01
14217.900 4.115840e-01
14227.900 4.118050e-01
14237.900 4.129720e-01
14247.900 4.131840e-01
14257.900 4.123730e-01
14267.900 4.137320e-01
14277.900 4.138620e-01
14287.900 4.139110e-01
14297.900 4.161240e-01
14307.900 4.163250e-01
14317.900 4.169820e-01
14327.900 4.161090e-01
14337.900 4.165390e-01
14347.900 4.174040e-01
14357.900 4.168960e-01
14367.900 4.169030e-01
14377.900 4.180770e-01
14387.900 4.182000e-01
